lengde,brede,moh,tid
59.9183,10.51628,290,2160.3225806451615
59.91818,10.51631,290,2172.0
59.91807,10.51646,290,2183.6774193548385
59.91799,10.51636,290,2195.3548387096776
59.91787,10.51647,290,2207.032258064516
59.91782,10.51667,291,2218.709677419355
59.9179,10.51664,290,2230.3870967741937
59.91785,10.51652,290,2242.064516129032
59.91787,10.51604,290,2253.741935483871
59.9179,10.51614,290,2265.4193548387098
59.91788,10.51629,290,2277.0967741935483
59.91781,10.5163,290,2288.7741935483873
59.91777,10.51638,290,2300.451612903226
59.91771,10.51628,290,2312.1290322580644
59.91764,10.51637,290,2323.8064516129034
59.91768,10.51654,290,2335.483870967742
59.91766,10.51663,290,2347.1612903225805
59.91771,10.51681,291,2358.8387096774195
59.9178,10.5169,291,2370.516129032258
59.91797,10.51724,291,2382.193548387097
59.9181,10.51738,291,2393.8709677419356
59.91811,10.5176,291,2405.548387096774
59.9182,10.51782,291,2417.225806451613
59.91822,10.51799,291,2428.9032258064517
59.91815,10.51842,291,2440.5806451612902
59.91817,10.51846,291,2452.2580645161293
59.91815,10.51857,291,2463.935483870968
59.91785,10.51876,263,2475.6129032258063
59.9177,10.51896,263,2487.2903225806454
59.91763,10.51894,263,2498.967741935484
59.91756,10.51908,263,2510.6451612903224
59.91745,10.51888,263,2522.3225806451615
59.91732,10.51881,263,2534.0
59.91729,10.51905,263,2545.6774193548385
59.91722,10.51938,263,2557.3548387096776
59.9171,10.51931,263,2569.032258064516
59.91702,10.51915,263,2580.709677419355
59.917,10.51922,263,2592.3870967741937
59.91686,10.51919,263,2604.064516129032
59.91669,10.51899,263,2615.741935483871
59.91658,10.51902,197,2627.4193548387098
59.91654,10.51908,197,2639.0967741935483
59.91654,10.51921,197,2650.7741935483873
59.91687,10.51981,263,2662.451612903226
59.91697,10.51986,263,2674.1290322580644
59.91712,10.52018,263,2685.8064516129034
59.91723,10.52084,208,2697.483870967742
59.91721,10.52094,208,2709.1612903225805
59.91695,10.52062,263,2720.8387096774195
